"Disorder.Name","Semantic.Type"
"Germ Cell Cancer","Neoplastic Process"
"Cancer, Embryonal and Mixed","Neoplastic Process"
"Microlissencephaly","Disease or Syndrome"
"Severe Congenital Microcephaly","Congenital Abnormality; Disease or Syndrome"
"Antibody Deficiency Syndrome","Disease or Syndrome"
"Amyotrophic Lateral Sclerosis With Dementia","Disease or Syndrome"
"Amyotrophic Lateral Sclerosis, Guam Form","Disease or Syndrome"
"Ataxia, Spinocerebellar","Disease or Syndrome"
"Spinocerebellar Ataxia Type 1","Disease or Syndrome"
"Spinocerebellar Ataxia Type 2","Disease or Syndrome"
"Spinocerebellar Ataxia Type 4","Disease or Syndrome"
"Spinocerebellar Ataxia Type 5","Disease or Syndrome"
"Spinocerebellar Ataxia Type 6 (disorder)","Disease or Syndrome"
"Spinocerebellar Ataxia Type 7","Disease or Syndrome"
"Involutional Depression","Mental or Behavioral Dysfunction"
"Diabetes Mellitus, Insulin-Dependent","Disease or Syndrome"
"Dyskinesia, Drug-Induced","Disease or Syndrome"
"Diabetes, Autoimmune","Disease or Syndrome"
"Brittle diabetes","Disease or Syndrome"
"Dyskinesia, Medication-Induced","Disease or Syndrome"
"Involutional paraphrenia","Mental or Behavioral Dysfunction"
"Psychosis, Involutional","Mental or Behavioral Dysfunction"
"Diabetes Mellitus, Ketosis-Prone","Disease or Syndrome"
"Juvenile Myelomonocytic Leukemia","Neoplastic Process"
"Celiac Disease","Disease or Syndrome"
"Cleft Palate","Congenital Abnormality"
"Cleft palate, isolated","Congenital Abnormality"
"Anorexia","Disease or Syndrome"
"Gastrointestinal Stromal Sarcoma","Neoplastic Process"
"Chronic Obstructive Airway Disease","Disease or Syndrome"
"Chronic Airflow Obstruction","Disease or Syndrome"
"Chloracne","Disease or Syndrome"
"Hodgkin Disease","Neoplastic Process"
"Malaria","Disease or Syndrome"
"Hepatitis C","Disease or Syndrome"
"Action Myoclonus-Renal Failure Syndrome","Disease or Syndrome"
"Epidermolysis Bullosa","Congenital Abnormality"
"Barrett Esophagus","Disease or Syndrome"
"Barrett Epithelium","Disease or Syndrome"
"MAJOR AFFECTIVE DISORDER 2","Mental or Behavioral Dysfunction"
"Autosomal Recessive Primary Microcephaly","Disease or Syndrome"
"Spina Bifida","Congenital Abnormality"
"Myasthenic Syndromes, Congenital","Disease or Syndrome"
"Congenital Myasthenic Syndromes, Presynaptic","Disease or Syndrome"
"Atypical Inclusion-Body Disease","Disease or Syndrome"
"Familial Progressive Myoclonic Epilepsy","Disease or Syndrome"
"Myoclonic Epilepsies, Progressive","Disease or Syndrome"
"Biotin-Responsive Encephalopathy","Disease or Syndrome"
"Dentatorubral-Pallidoluysian Atrophy","Disease or Syndrome"
"May-White Syndrome","Disease or Syndrome"
"Pheochromocytoma","Neoplastic Process"
"Pheochromocytoma, Extra-Adrenal","Neoplastic Process"
"Narcolepsy","Disease or Syndrome"
"Narcolepsy-Cataplexy Syndrome","Disease or Syndrome"
"Congenital Myasthenic Syndromes, Postsynaptic","Disease or Syndrome"
"Myasthenic Syndromes, Congenital, Slow Channel","Disease or Syndrome"
"Dermatitis, Atopic","Disease or Syndrome"
"Eczema, Infantile","Disease or Syndrome"
"Oral Submucous Fibrosis","Disease or Syndrome"
"Hyperinsulinism","Disease or Syndrome"
"Endogenous Hyperinsulinism","Disease or Syndrome"
"Exogenous Hyperinsulinism","Disease or Syndrome"
"Compensatory Hyperinsulinemia","Disease or Syndrome"
"Cytochrome-c Oxidase Deficiency","Congenital Abnormality; Disease or Syndrome"
"West Syndrome","Disease or Syndrome"
"Crohn Disease","Disease or Syndrome"
"Crohn's disease of large bowel","Disease or Syndrome"
"Crohn's disease of the ileum","Disease or Syndrome"
"Metabolic Syndrome X","Disease or Syndrome"
"Regional enteritis","Disease or Syndrome"
"IIeocolitis","Disease or Syndrome"
"Leber Congenital Amaurosis","Disease or Syndrome"
"Neutropenia","Disease or Syndrome"
"Congenital Hypothyroidism","Disease or Syndrome"
"Thyroid Agenesis","Congenital Abnormality"
"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)","Disease or Syndrome"
"gliosarcoma","Neoplastic Process"
"Ovarian Mucinous Adenocarcinoma","Neoplastic Process"
"Kallmann Syndrome","Disease or Syndrome"
"Arrhythmogenic Right Ventricular Dysplasia","Congenital Abnormality; Disease or Syndrome"
"Leukemia, Monocytic, Chronic","Neoplastic Process"
"Myeloid Leukemia","Neoplastic Process"
"Kartagener Syndrome","Disease or Syndrome"
"Polynesian Bronchiectasis","Disease or Syndrome"
"Intrahepatic Cholangiocarcinoma","Neoplastic Process"
"Extrahepatic Cholangiocarcinoma","Neoplastic Process"
"Benign neoplasm of adrenal gland","Neoplastic Process"
"Benign neoplasm of aortic body and other paraganglia","Neoplastic Process"
"Malignant Adrenal Medulla Neoplasm","Neoplastic Process"
"Malignant neoplasm of aortic body and other paraganglia","Neoplastic Process"
"Holoprosencephaly","Congenital Abnormality"
"Lobar Holoprosencephaly","Congenital Abnormality"
"Alobar Holoprosencephaly","Congenital Abnormality"
"Semilobar Holoprosencephaly","Congenital Abnormality"
"Anemia, Diamond-Blackfan","Disease or Syndrome"
"Aase Smith syndrome 2","Disease or Syndrome"
"Zellweger Syndrome","Disease or Syndrome"
"Adrenoleukodystrophy, Neonatal","Disease or Syndrome"
"African Burkitt's lymphoma","Neoplastic Process"
"MITOCHONDRIAL COMPLEX I DEFICIENCY","Disease or Syndrome"
"NADH:Q(1) Oxidoreductase deficiency","Disease or Syndrome"
"Familial aplasia of the vermis","Disease or Syndrome"
"Meckel-Gruber syndrome","Disease or Syndrome"
