"Disorder.Name","Semantic.Type","Disease.class"
"Hydrocephalus","Disease or Syndrome","C10"
"Attention Deficit Disorder","Mental or Behavioral Dysfunction","F03"
"Attention deficit hyperactivity disorder","Mental or Behavioral Dysfunction","F03"
"Minimal Brain Dysfunction","Mental or Behavioral Dysfunction","F03"
"CONOTRUNCAL ANOMALY FACE SYNDROME","Disease or Syndrome","C05;C14;C15;C16;C19"
"Basal cell carcinoma","Neoplastic Process","C04"
"Pigmented Basal Cell Carcinoma","Neoplastic Process","C04"
"Deep Vein Thrombosis","Disease or Syndrome","C14"
"Atrial Fibrillation","Disease or Syndrome","C14;C23"
"Paroxysmal atrial fibrillation","Disease or Syndrome","C14;C23"
"Influenza","Disease or Syndrome","C02;C08"
"Benign neoplasm of bladder","Neoplastic Process",""
"Carcinoma in situ of bladder","Neoplastic Process",""
"Neoplasm of uncertain or unknown behavior of bladder","Neoplastic Process",""
"Carcinoma of bladder","Neoplastic Process",""
"Hereditary non-polyposis colorectal cancer syndrome","Congenital Abnormality",""
"Lymphoma, Follicular","Neoplastic Process","C04;C15;C20"
"Lymphoma, Large-Cell, Follicular","Neoplastic Process","C04;C15;C20"
"Lymphoma, Mixed-Cell, Follicular","Neoplastic Process","C04;C15;C20"
"Lymphoma, Small Cleaved-Cell, Follicular","Neoplastic Process","C04;C15;C20"
"Lymphoma, Follicular, Grade 1","Neoplastic Process","C04;C15;C20"
"Lymphoma, Follicular, Grade 3","Neoplastic Process","C04;C15;C20"
"Lymphoma, Follicular, Grade 2","Neoplastic Process","C04;C15;C20"
"Kidney Neoplasm","Neoplastic Process","C04;C12;C13"
"Malignant neoplasm of kidney","Neoplastic Process","C04;C12;C13"
"Malignant neoplasm of endometrium","Neoplastic Process",""
"Squamous cell carcinoma of lung","Neoplastic Process",""
"Carcinoma in situ of endometrium","Neoplastic Process",""
"Infiltrating duct carcinoma of female breast","Neoplastic Process",""
"Primary microcephaly","Congenital Abnormality",""
"Hematopoetic Myelodysplasia","Pathologic Function","C15"
"Dysautonomia, Familial","Congenital Abnormality; Disease or Syndrome","C10;C16"
"Pain Disorder","Mental or Behavioral Dysfunction","F03"
"Schizoaffective Disorder","Mental or Behavioral Dysfunction","F03"
"Autism Spectrum Disorders","Mental or Behavioral Dysfunction","F03"
"Bardet-Biedl Syndrome","Disease or Syndrome","C10;C16"
"Thyroid Neoplasm","Neoplastic Process","C04;C19"
"Thyroid Gland Follicular Adenoma","Neoplastic Process","C04;C19"
"Thyroid carcinoma","Neoplastic Process","C04;C19"
"Dyschondroplasias","Congenital Abnormality","C05;C16"
"Liver Cirrhosis, Alcoholic","Disease or Syndrome","C06;C25"
"Reticulosarcoma","Neoplastic Process","C04;C15;C20"
"Lymphoma, Mixed-Cell","Neoplastic Process","C04;C15;C20"
"Lymphoma, Undifferentiated","Neoplastic Process","C04;C15;C20"
"Melnick-Needles Syndrome","Disease or Syndrome","C05;C16"
"Multiple Epiphyseal Dysplasia","Congenital Abnormality","C05;C16"
"Schwartz-Jampel Syndrome","Disease or Syndrome","C05;C16"
"Spondyloepiphyseal Dysplasia","Disease or Syndrome","C05;C16"
"High Grade Lymphoma (neoplasm)","Neoplastic Process","C04;C15;C20"
"Lymphoma, Intermediate-Grade","Neoplastic Process","C04;C15;C20"
"Low Grade Lymphoma (neoplasm)","Neoplastic Process","C04;C15;C20"
"Diffuse Mixed-Cell Lymphoma","Neoplastic Process","C04;C15;C20"
"Lymphoma, Small Noncleaved-Cell","Neoplastic Process","C04;C15;C20"
"Van Buchem disease","Disease or Syndrome","C05;C16"
"Bipolar I disorder","Mental or Behavioral Dysfunction",""
"Spondyloepiphyseal Dysplasia Tarda, X-Linked","Congenital Abnormality","C05;C16"
"Lymphoma, Diffuse","Neoplastic Process","C04;C15;C20"
"Leigh Disease","Disease or Syndrome","C10;C16;C18"
"Encephalopathy, Subacute Necrotizing, Infantile","Disease or Syndrome","C10;C16;C18"
"Encephalopathy, Subacute Necrotizing, Juvenile","Disease or Syndrome","C10;C16;C18"
"Epilepsy, Temporal Lobe","Disease or Syndrome","C10"
"Uncinate Epilepsy","Disease or Syndrome","C10"
"Epilepsy, Benign Psychomotor, Childhood","Disease or Syndrome","C10"
"Epilepsy, Lateral Temporal","Disease or Syndrome","C10"
"Nuclear cataract","Disease or Syndrome",""
"Nuclear non-senile cataract","Disease or Syndrome",""
"Primary biliary cirrhosis","Disease or Syndrome","C06"
"Biliary cirrhosis","Disease or Syndrome","C06"
"Biliary Cirrhosis, Secondary","Disease or Syndrome","C06"
"Acrocephaly","Congenital Abnormality","C05;C16"
"Uremia","Disease or Syndrome","C12;C13"
"Brachycephaly","Congenital Abnormality","C05;C16"
"Scaphycephaly","Congenital Abnormality","C05;C16"
"Trigonocephaly","Congenital Abnormality","C05;C16"
"Synostotic Posterior Plagiocephaly","Disease or Syndrome","C05;C16"
"Metopic synostosis","Congenital Abnormality","C05;C16"
"Synostotic Anterior Plagiocephaly","Congenital Abnormality; Disease or Syndrome","C05;C16"
"Metastatic melanoma","Neoplastic Process",""
"Prostate cancer, familial","Neoplastic Process","C04;C12"
"Neurofibromatosis 1","Neoplastic Process","C04;C10;C16"
"Noonan Syndrome","Disease or Syndrome","C05;C14;C16;C17"
"Sezary Syndrome","Neoplastic Process","C04;C15;C20"
"Adrenocortical carcinoma","Neoplastic Process","C04;C19"
"Cholangiocarcinoma","Neoplastic Process","C04"
"Carcinoma of lung","Neoplastic Process",""
"Fanconi Anemia","Disease or Syndrome","C15;C16;C18"
"Nephroblastoma","Neoplastic Process","C04;C12;C13;C16"
"Esophageal atresia with or without tracheoesophageal fistula","Disease or Syndrome","C06;C08;C16;C23"
"Bilateral Wilms Tumor","Disease or Syndrome","C04;C12;C13;C16"
"Radial club hand","Congenital Abnormality",""
"Embryonal Neoplasm","Neoplastic Process","C04"
"Neoplasms, Embryonal and Mixed","Neoplastic Process","C04"
"Germ Cell Cancer","Neoplastic Process","C04"
"Cancer, Embryonal and Mixed","Neoplastic Process","C04"
"Microlissencephaly","Disease or Syndrome","C05;C10;C16"
"Severe Congenital Microcephaly","Congenital Abnormality; Disease or Syndrome","C05;C10;C16"
"Antibody Deficiency Syndrome","Disease or Syndrome","C20"
"Amyotrophic Lateral Sclerosis With Dementia","Disease or Syndrome","C10;C18"
"Amyotrophic Lateral Sclerosis, Guam Form","Disease or Syndrome","C10;C18"
"Ataxia, Spinocerebellar","Disease or Syndrome","C10;C16"
"Spinocerebellar Ataxia Type 1","Disease or Syndrome","C10;C16"
"Spinocerebellar Ataxia Type 2","Disease or Syndrome","C10;C16"
"Spinocerebellar Ataxia Type 4","Disease or Syndrome","C10;C16"
"Spinocerebellar Ataxia Type 5","Disease or Syndrome","C10;C16"
"Spinocerebellar Ataxia Type 6 (disorder)","Disease or Syndrome","C10;C16"
"Spinocerebellar Ataxia Type 7","Disease or Syndrome","C10;C16"
"Involutional Depression","Mental or Behavioral Dysfunction","F03"
"Diabetes Mellitus, Insulin-Dependent","Disease or Syndrome","C18;C19;C20"
"Dyskinesia, Drug-Induced","Disease or Syndrome","C10;C23;C25"
"Diabetes, Autoimmune","Disease or Syndrome","C18;C19;C20"
"Brittle diabetes","Disease or Syndrome","C18;C19;C20"
"Dyskinesia, Medication-Induced","Disease or Syndrome","C10;C23;C25"
"Involutional paraphrenia","Mental or Behavioral Dysfunction","F03"
"Psychosis, Involutional","Mental or Behavioral Dysfunction","F03"
"Diabetes Mellitus, Ketosis-Prone","Disease or Syndrome","C18;C19;C20"
"Juvenile Myelomonocytic Leukemia","Neoplastic Process","C04;C15"
"Celiac Disease","Disease or Syndrome","C06;C18"
"Cleft Palate","Congenital Abnormality","C05;C07;C16"
"Cleft palate, isolated","Congenital Abnormality","C05;C07;C16"
"Anorexia","Disease or Syndrome","C23"
"Gastrointestinal Stromal Sarcoma","Neoplastic Process","C04;C06"
"Chronic Obstructive Airway Disease","Disease or Syndrome","C08"
"Chronic Airflow Obstruction","Disease or Syndrome","C08"
"Chloracne","Disease or Syndrome","C17"
"Hodgkin Disease","Neoplastic Process","C04;C15;C20"
"Malaria","Disease or Syndrome","C03"
"Hepatitis C","Disease or Syndrome","C02;C06"
"Action Myoclonus-Renal Failure Syndrome","Disease or Syndrome","C10"
"Epidermolysis Bullosa","Congenital Abnormality","C16;C17"
"Barrett Esophagus","Disease or Syndrome","C04;C06"
"Barrett Epithelium","Disease or Syndrome","C04;C06"
"MAJOR AFFECTIVE DISORDER 2","Mental or Behavioral Dysfunction","C16;F03"
"Autosomal Recessive Primary Microcephaly","Disease or Syndrome","C05;C10;C16"
"Spina Bifida","Congenital Abnormality","C10;C16"
"Myasthenic Syndromes, Congenital","Disease or Syndrome","C10;C16"
"Congenital Myasthenic Syndromes, Presynaptic","Disease or Syndrome","C10;C16"
"Atypical Inclusion-Body Disease","Disease or Syndrome","C10"
"Familial Progressive Myoclonic Epilepsy","Disease or Syndrome","C10"
"Myoclonic Epilepsies, Progressive","Disease or Syndrome","C10"
"Biotin-Responsive Encephalopathy","Disease or Syndrome","C10"
"Dentatorubral-Pallidoluysian Atrophy","Disease or Syndrome","C10"
"May-White Syndrome","Disease or Syndrome","C10"
"Pheochromocytoma","Neoplastic Process","C04"
"Pheochromocytoma, Extra-Adrenal","Neoplastic Process","C04"
"Narcolepsy","Disease or Syndrome","C10;F03"
"Narcolepsy-Cataplexy Syndrome","Disease or Syndrome","C10;F03"
"Congenital Myasthenic Syndromes, Postsynaptic","Disease or Syndrome","C10;C16"
"Myasthenic Syndromes, Congenital, Slow Channel","Disease or Syndrome","C10;C16"
"Dermatitis, Atopic","Disease or Syndrome","C16;C17;C20"
"Eczema, Infantile","Disease or Syndrome","C16;C17;C20"
"Oral Submucous Fibrosis","Disease or Syndrome","C07"
"Hyperinsulinism","Disease or Syndrome","C18"
"Endogenous Hyperinsulinism","Disease or Syndrome","C18"
"Exogenous Hyperinsulinism","Disease or Syndrome","C18"
"Compensatory Hyperinsulinemia","Disease or Syndrome","C18"
"Cytochrome-c Oxidase Deficiency","Congenital Abnormality; Disease or Syndrome","C16;C18"
"West Syndrome","Disease or Syndrome","C10"
"Crohn Disease","Disease or Syndrome","C06"
"Crohn's disease of large bowel","Disease or Syndrome","C06"
"Crohn's disease of the ileum","Disease or Syndrome","C06"
"Metabolic Syndrome X","Disease or Syndrome","C18"
"Regional enteritis","Disease or Syndrome","C06"
"IIeocolitis","Disease or Syndrome","C06"
"Leber Congenital Amaurosis","Disease or Syndrome","C11"
"Neutropenia","Disease or Syndrome","C15"
"Congenital Hypothyroidism","Disease or Syndrome","C05;C16;C19"
"Thyroid Agenesis","Congenital Abnormality","C16;C19"
"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)","Disease or Syndrome","C14;C23"
"gliosarcoma","Neoplastic Process","C04"
"Ovarian Mucinous Adenocarcinoma","Neoplastic Process",""
"Kallmann Syndrome","Disease or Syndrome","C12;C13;C16;C19"
"Arrhythmogenic Right Ventricular Dysplasia","Congenital Abnormality; Disease or Syndrome","C14;C16"
"Leukemia, Monocytic, Chronic","Neoplastic Process","C04"
"Myeloid Leukemia","Neoplastic Process","C04"
"Kartagener Syndrome","Disease or Syndrome","C08;C09;C14;C16"
"Polynesian Bronchiectasis","Disease or Syndrome","C08;C09;C14;C16"
"Intrahepatic Cholangiocarcinoma","Neoplastic Process","C04"
"Extrahepatic Cholangiocarcinoma","Neoplastic Process","C04"
"Benign neoplasm of adrenal gland","Neoplastic Process",""
"Benign neoplasm of aortic body and other paraganglia","Neoplastic Process",""
"Malignant Adrenal Medulla Neoplasm","Neoplastic Process",""
"Malignant neoplasm of aortic body and other paraganglia","Neoplastic Process",""
"Holoprosencephaly","Congenital Abnormality","C05;C10;C16"
"Lobar Holoprosencephaly","Congenital Abnormality","C05;C10;C16"
"Alobar Holoprosencephaly","Congenital Abnormality","C05;C10;C16"
"Semilobar Holoprosencephaly","Congenital Abnormality","C05;C10;C16"
"Anemia, Diamond-Blackfan","Disease or Syndrome","C15;C16"
"Aase Smith syndrome 2","Disease or Syndrome","C15;C16"
"Zellweger Syndrome","Disease or Syndrome","C06;C10;C12;C13;C16;C18"
"Adrenoleukodystrophy, Neonatal","Disease or Syndrome","C16;C18"
"African Burkitt's lymphoma","Neoplastic Process","C02;C04;C15;C20"
"MITOCHONDRIAL COMPLEX I DEFICIENCY","Disease or Syndrome","C18"
"NADH:Q(1) Oxidoreductase deficiency","Disease or Syndrome","C18"
"Familial aplasia of the vermis","Disease or Syndrome","C11;C12;C13;C16"
"Meckel-Gruber syndrome","Disease or Syndrome",""
