pathway	external_id	source	hgnc_symbol_ids
Suprofen Action Pathway	SMP00101	SMPDB	CYP2J2,PTGS2,PTGS1,FAM213B,CBR1,EPHX2,CYP4F8,ALOX15,ALOX12,LTA4H,PTGDS,CYP4F2,CYP4F3,CYP2U1,AKR1C3,CYP2B6,LTC4S,ALOX12B,TBXAS1,ALOX5,PTGIS,GGT1,PLA2G4B,PTGES,CYP2C8,CYP4A11,JMJD7-PLA2G4B,CYP2E1,GPX1,ALOX15B
Hydrochlorothiazide Action Pathway	SMP00100	SMPDB	FXYD2,SLC7A8,NR3C2,SLC7A6,SLC7A7,SLC7A5,SLC14A2,CLCNKA,AQP3,SCNN1D,SLC7A9,SCNN1G,SLC12A6,SLC12A1,SCNN1B,SLC12A3,SLC38A4,AQP2,SCNN1A,AQP1,ATP1B2,ATP1B3,ATP1B1,SLC6A20,ATP1A1,SLC3A2,SLC3A1,SLC22A6,ATP1A4,ATP1A3,ATP1A2,SLC22A2,SLC1A1
Cyclothiazide Action Pathway	SMP00103	SMPDB	FXYD2,SLC7A8,NR3C2,SLC7A6,SLC7A7,SLC7A5,SLC14A2,CLCNKA,AQP3,SCNN1D,SLC7A9,SCNN1G,SLC12A6,SLC12A1,SCNN1B,SLC12A3,SLC38A4,AQP2,SCNN1A,AQP1,ATP1B2,ATP1B3,ATP1B1,SLC6A20,ATP1A1,SLC3A2,SLC3A1,SLC22A6,ATP1A4,ATP1A3,ATP1A2,SLC22A2,SLC1A1
Bromfenac Action Pathway	SMP00102	SMPDB	CYP2J2,PTGS2,PTGS1,FAM213B,CBR1,EPHX2,CYP4F8,ALOX15,ALOX12,LTA4H,PTGDS,CYP4F2,CYP4F3,CYP2U1,AKR1C3,CYP2B6,LTC4S,ALOX12B,TBXAS1,ALOX5,PTGIS,GGT1,PLA2G4B,PTGES,CYP2C8,CYP4A11,JMJD7-PLA2G4B,CYP2E1,GPX1,ALOX15B
Dopamine Activation of Neurological Reward System	SMP00308	SMPDB	ADCY2,GNAS,GNB1,GNG12,DRD1,PRKACB
Mefenamic Acid Action Pathway	SMP00109	SMPDB	CYP2J2,PTGS2,PTGS1,FAM213B,CBR1,EPHX2,CYP4F8,ALOX15,ALOX12,LTA4H,PTGDS,CYP4F2,CYP4F3,CYP2U1,AKR1C3,CYP2B6,LTC4S,ALOX12B,TBXAS1,ALOX5,PTGIS,GGT1,PLA2G4B,PTGES,CYP2C8,CYP4A11,JMJD7-PLA2G4B,CYP2E1,GPX1,ALOX15B
Hydroflumethiazide Action Pathway	SMP00108	SMPDB	FXYD2,SLC7A8,NR3C2,SLC7A6,SLC7A7,SLC7A5,SLC14A2,CLCNKA,AQP3,SCNN1D,SLC7A9,SCNN1G,SLC12A6,SLC12A1,SCNN1B,SLC12A3,SLC38A4,AQP2,SCNN1A,AQP1,ATP1B2,ATP1B3,ATP1B1,SLC6A20,ATP1A1,SLC3A2,SLC3A1,SLC22A6,ATP1A4,ATP1A3,ATP1A2,SLC22A2,SLC1A1
11-beta-hydroxylase deficiency (CYP11B1)	SMP00575	SMPDB	CYP11A1,CYP21A2,AKR1D1,CYP17A1,HSD3B1,HSD3B2,AKR1C4,CYP11B2,CYP11B1,HSD11B2,HSD11B1
3-Methylthiofentanyl Action Pathway	SMP00679	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Methadyl Acetate Action Pathway	SMP00678	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Glycogenosis, Type IB	SMP00573	SMPDB	PCK1,BPGM,MPC1,GAPDH,LDHAL6A,TPI1,PGAM2,FBP1,PGAM1,SLC25A11,PANK1,SLC37A4,PC,GPI,HK2,PGM1,ENO1,ALDOA,GALM,G6PC,SLC2A2,MDH2
Ibandronate Action Pathway	SMP00079	SMPDB	MSMO1,SOAT1,TM7SF2,NSDHL,IDI1,SC5D,GGPS1,SQLE,ACAT2,LSS,CYP51A1,FDFT1,HSD17B7,LIPA,HMGCS1,MVD,HMGCR,MVK,DHCR24,FDPS,PMVK,EBP
Chlorothiazide Action Pathway	SMP00078	SMPDB	FXYD2,SLC7A8,NR3C2,SLC7A6,SLC7A7,SLC7A5,SLC14A2,CLCNKA,AQP3,SCNN1D,SLC7A9,SCNN1G,SLC12A6,SLC12A1,SCNN1B,SLC12A3,SLC38A4,AQP2,SCNN1A,AQP1,ATP1B2,ATP1B3,ATP1B1,SLC6A20,ATP1A1,SLC3A2,SLC3A1,SLC22A6,ATP1A4,ATP1A3,ATP1A2,SLC22A2,SLC1A1
Ketone Body Metabolism	SMP00071	SMPDB	HMGCL,ACAT1,HMGCS2,OXCT1,BDH1
Riboflavin Metabolism	SMP00070	SMPDB	RFK,FLAD1,ACP1,TYR,ENPP1
Butyrate Metabolism	SMP00073	SMPDB	HADH,HMGCS2,ACADS,ACAT1,HMGCL,ECHS1,OXCT1,ACSM1
Glutamate Metabolism	SMP00072	SMPDB	GSS,GSR,EARS2,NADSYN1,GLUL,ABAT,GAD1,CAD,GCLM,GCLC,GOT2,GNPNAT1,GFPT1,GPT,QARS,NAGK,GMPS,ALDH4A1,GLUD1,PPAT,ALDH5A1,CPS1,GLS2
Arachidonic Acid Metabolism	SMP00075	SMPDB	CYP2J2,PTGS2,EPHX2,FAM213B,CBR1,PTGS1,CYP4F8,ALOX15,ALOX12,LTA4H,PTGDS,CYP4F2,CYP4F3,CYP2U1,AKR1C3,CYP2B6,LTC4S,ALOX12B,TBXAS1,ALOX5,PTGIS,GGT1,PLA2G4B,PTGES,CYP2C8,CYP4A11,JMJD7-PLA2G4B,CYP2E1,GPX1,ALOX15B
Retinol Metabolism	SMP00074	SMPDB	RETSAT,HSPA5,RPE65,ALDH1A1,ALDH1A2,CYP3A43,RDH8,DHRS9,DGAT1,DHRS4,CYP2B6,DHRS3,AWAT1,DNAJB11,BCO1,PNPLA4,LRAT,SDF2L1,RDH11,RDH12,CYP2A13,PDIA6,PDIA4,PDIA2,CYP2A7,CYP2A6,CYP3A7,CYP3A4,CYP3A5,CYP3A7-CYP3A51P,UGT1A1,HYOU1,RDH16,CYP26A1,ADH1A,ERP29,PPIB
Piroxicam Action Pathway	SMP00077	SMPDB	CYP2J2,PTGS2,PTGS1,FAM213B,CBR1,EPHX2,CYP4F8,ALOX15,ALOX12,LTA4H,PTGDS,CYP4F2,CYP4F3,CYP2U1,AKR1C3,CYP2B6,LTC4S,ALOX12B,TBXAS1,ALOX5,PTGIS,GGT1,PLA2G4B,PTGES,CYP2C8,CYP4A11,JMJD7-PLA2G4B,CYP2E1,GPX1,ALOX15B
Thiamine Metabolism	SMP00076	SMPDB	TPK1,NTPCR,THTPA,SLC19A2
Aromatic L-Aminoacid Decarboxylase Deficiency	SMP00170	SMPDB	DDC,DBH,PNMT,TH
Beta Ureidopropionase Deficiency	SMP00172	SMPDB	RRM2,UPB1,CAD,TYMS,CTPS1,DPYD,CMPK2,DCTD,ITPA,DPYS,RRM2B,NT5C2,TK1,DUT,UPP2,NME6,CDA,UCKL1,AK3,DHODH,GDA,TYMP,CANT1
Beta-Ketothiolase Deficiency	SMP00173	SMPDB	MUT,HSD17B10,ACADS,AOX1,PCCB,PCCA,ABAT,HIBADH,ACADM,ACAT1,ACAA2,OXCT1,MCEE,HMGCS2,DLD,HMGCL,AUH,BCAT1,ALDH6A1,ACADSB,MCCC2,MCCC1,IVD,ACAD8,ALDH2,DBT,ECHS1,BCKDHB,BCKDHA,HIBCH
Biotinidase Deficiency	SMP00174	SMPDB	BTD,HLCS,SPCS1
Canavan Disease	SMP00175	SMPDB	ASPA,DARS,ADSL,ADSSL1,ASNS,NARS,ASRGL1,DDO,ABAT,IL4I1,ASL,ASS1,GAD1,CAD
Cystathionine Beta-Synthase Deficiency	SMP00177	SMPDB	MTFMT,MAT2A,BHMT,CBS,MTHFR,MTAP,DNMT1,MSRB3,SRM,MSRB2,MTR,SHMT1,MAT2B,MARS,CHDH,IL4I1,AHCY,CTH,CBSL,AMD1
Dihydropyrimidinase Deficiency	SMP00178	SMPDB	RRM2,UPB1,CAD,TYMS,CTPS1,DPYD,CMPK2,DCTD,ITPA,DPYS,RRM2B,NT5C2,TK1,DUT,UPP2,NME6,CDA,UCKL1,AK3,DHODH,GDA,TYMP,CANT1
Toxicity of botulinum toxin type C (BoNT/C)	R-HSA-5250971	Reactome	STX1A,SNAP25,STX1B
Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	SMP00179	SMPDB	GAMT,GNMT,AGXT,DMGDH,CTH,CBSL,BHMT,GATM,GLDC,GARS,ALAS1,AMT,DLD,SRR,PHGDH,GCAT,SHMT2,SHMT1,PSPH,SDS,GLYCTK,ALDH2,PSAT1,CBS,MAOA,SARDH,SARS
Dezocine Action Pathway	SMP00676	SMPDB	SLC6A3,SLC6A2,FXYD2,SLC6A4,PCSK2,SCN10A,CACNA1A,CACNB1,CHRNB2,GRIN3A,GRIN2A,ATP1A3,GRIN1,KCNIP2,KCND2,ATP1B2,ATP1B3,ATP1B1,CHRNA4,OPRM1,POMC,CACNA2D2,ADRA1A,DRD1,ATP1A4,SCN1B,ATP1A2,ATP1A1,HTR1A
Carnitine palmitoyl transferase deficiency (I)	SMP00538	SMPDB	CPT1A,HADHA,ACADVL,ACAA2,HADHB,ACSL1,CPT2,ACAT1,ECHS1,ACADS,ACADSB,ACADL,ACADM,GCDH
NOTCH-Core	None	Signalink	MDK,PSEN2,RBPJ,NOTCH1,NOTCH2,NOTCH3,DLL1,JAG2,PSENEN,NCSTN,PSEN1
EGF-Core	None	Signalink	TPBG,EGF,MAP3K8,MAP3K9,MAP3K2,MAP3K3,MAP3K1,MAP3K6,MAP3K7,MAP3K4,PIK3CG,SMAD4,MYC,MAP3K20,ERBB2,ERBB3,IGF1R,DDIT3,SHC1,SHC2,SHC3,CREB1,STK4,KRAS,MAX,GSK3B,ELK3,ELK1,ELK4,PAK1,PAK2,HRAS,CRK,MAPKAPK5,MAPKAPK3,MAPKAPK2,TGFA,JUN,JAK1,FOS,RPS6KA1,RPS6KA5,MEF2C,MEF2A,BTC,MKNK2,MKNK1,SMAD2,SMAD3,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,MAP3K5,RAF1,AREG,MAPK3,GRAP,HBEGF,MAPK1,MAPK7,MAPK8,MAPK9,TGFBR2,TGFBR1,TAL1,TAOK1,TAOK2,TAOK3,SOS1,IRS4,IRS1,CDC42,MAP4K1,MAP4K3,MAP4K2,MAP4K5,MAP4K4,EGFR,MAP2K3,MAP2K2,MAP2K1,MAP2K7,MAP2K6,MAP2K5,MAP2K4,MINK1,ERBB4,NRAS,DVL3,ETS1,NRG1,NRG3,NRG2,NRG4,RAC2,RAC1,MAP3K10,MAP3K11,MAP3K12,MAP3K13,BRAF,ATF1,ATF2
IGF-Ncore	None	Signalink	SIRT1,SGK1,GRAP,GRB10,PPP4C,NEDD4,PPP4R3A,PTEN,IGFBP1,PTPN11,ARRB1,PTPN2,MDM2,IGF2R,PTPN1,RACK1
WNT-Ncore	None	Signalink	FBXW11,DAB2,TLE1,MACF1,SMAD3,WIF1,ARRB1,PITX2,KREMEN2,KREMEN1,SMURF2,CDC73,MAP3K7,ROR2,CBY1,MARK1,YWHAB,NLK,MED23,RANBP3,MED12,NKD1,NPR1,STK11,GPC3,GATA3,SFRP2,SFRP1,PPP2CA,BTRC,DKK1,BCL9
NHR	None	Signalink	VDR,THRB,PPARA,ESRRG,RORC,NR1D1,NR1D2,NR2F2,RARA,RARB,NR6A1,RARG,NR0B2,NR0B1,NR2F6,NR2F1,RORB,RORA,THRA,PGR,NR5A2,NR5A1,NR1H4,NR1H2,NR1H3,NR3C2,NR3C1,NR4A1,ESRRA,ESRRB,NR4A2,NR4A3,RXRG,RXRA,RXRB,NR2C2,PPARG,PPARD,NR2C1,NR2E1,NR2E3,SMAD3,ESR2,ESR1,HNF4G,HNF4A,NR1I3,NR1I2,AR
IGF-Core	None	Signalink	IGF1R,IRS1,FOXO3,AKT1,INSR,AKT3,FOXO4,GRAP,RPS6KB1,PIK3CG,IGF2,TGFBR1,IGF1,CREB1,AKT2,SOCS2,IRS4,FOXO1,IRS2,INS,PDPK1,CDC42
HH-Ncore	None	Signalink	LRP2,RAB23,SPOP,STK36,CUL3,GRK6,EXTL1,BTRC,CDO1,DYRK1A,HHAT,GPC3,SAP18,ARRB1,GAS1,RBX1,BOC,CUL1,MTSS1,HHIP
WNT-Core	None	Signalink	WNT3A,RYK,SMAD2,SMAD3,CTNNB1,AKT1,DVL3,GSK3B,FZD1,FZD3,FZD4,AXIN2,AXIN1,FZD7,FZD8,FZD9,WNT10B,JUN,DVL2,WNT8A,CSNK1D,HNF1A,TCF4,TCF3,FRZB,CREB1,CSNK1G1,APC2,LEF1,DVL1,FZD5,RPS6KA1,CSNK1A1L,LRP6,LRP5,WNT2,WNT1,NOTCH1,WNT4,FRAT1,PRKACA,WNT16,WNT5A,WNT7A
TGF-Ncore	None	Signalink	UCHL5,FBXW11,ITCH,WWP1,SUMO1,SMAD6,SIRT1,KAT2A,CTNNB1,HIPK2,AXIN1,DAB2,SKI,NUP153,SMURF1,DAXX,SMURF2,PPM1A,PIAS3,MAP3K1,TRIM33,RNF111,NUP214,CTDSP1,SNIP1,XPO1,NR3C1,HGS,PML,BAMBI,SKIL,EIF4E,FOXH1,ROR2,PPP1CC,CTDNEP1,PPP1CA,ESR1,PPP1R15A,NEDD4L,PIAS1,ZFYVE9,CTDSP2,PIAS4,TGIF1
JAK-STAT-Ncore	None	Signalink	STAM,SOCS1,SOCS3,PTPN11,SH2B1,PIAS2,PIAS3,PIAS1,PTPRC,CISH,PIAS4,PTPN2,IRAK2,IL22RA2,PTPN1,IRAK1,PTPN6,RACK1
JAK-STAT-Core	None	Signalink	LIF,CRLF2,GHR,CRLF1,IL6ST,IL21,EPO,IFNAR1,LIFR,IL27,IL26,TYK2,IFNLR1,IL12RB1,PRL,IFNA13,OSM,IL36G,IFNK,ERBB4,IFNG,CSF3R,IFNAR2,GH1,IL20,CSF1,CSF2,CSF3,IL22,DBP,IL24,IL20RA,IL20RB,IL10RA,IL10RB,IL15,IL6,IFNGR1,IFNGR2,IL1R1,IFNL1,IFNL2,IFNL3,IL7,PRLR,IL4,JAK2,JAK3,JAK1,IL22RA1,IL5RA,IL4R,CNTFR,EPOR,IL13RA2,IL13RA1,MPL,IL11RA,IL13,IL15RA,IL7R,IL31,MAPK14,CSF2RA,IL1A,IL1B,STAT6,IL9R,STAT4,STAT3,STAT2,STAT1,IFNB1,MAPK3,MAPK8,LEPR,IL3RA,IL19,IL2RG,IL10,IL11,IFNA1,IL21R,IRS1,LEP,STAT5B,STAT5A,IL5,IL2,IL3,IL9,IL23A,EGFR,IL12A,IL23R,TSLP,IL31RA,THPO,OSMR,CNTF,RAC1,IL1RAP,IL6R,IL27RA
HH-Core	None	Signalink	GLI3,CSNK1A1L,PTCH1,AKT1,GLIS2,DHH,IHH,GSK3B,SMO,SHH,MAP2K1,GLI1,PRKACA,PTCH2,SUFU,DISP1,DISP3,DISP2,FOXC1
TGF-Core	None	Signalink	TGFB1,TGFB2,TGFB3,ACVR1,ACVR1C,ACVR1B,SMAD4,NODAL,SMAD7,ACVR2B,SMAD2,SMAD3,MAPK14,BMPR1A,BMPR1B,BMP15,AMH,AXIN1,MAPK3,GDF1,AMHR2,GDF6,GDF5,INHBA,MAPK1,SMAD5,MYC,GDF11,TGFBR2,TGFBR1,ACVRL1,BMP8B,CREB1,SMAD1,BMP7,BMP6,BMP4,BMP2,AKT1,GSK3B,BMPR2,ACTR2
EGF-Ncore	None	Signalink	FYN,SNX9,STK11,GAB1,PAK1IP1,CRIPAK,ARRB1,DUSP22,MDM2,PEBP1,INPPL1,SPAG9,CNKSR1,CNKSR2,PEA15,DUSP9,DUSP8,DUSP5,DUSP4,KSR2,DUSP6,DUSP1,SMAD6,DUSP3,DUSP2,SMAD7,WDR83,SIRPA,SH3RF1,PRKCA,DAXX,PPP2R2A,AXIN1,MTSS1,DUSP19,KSR1,EIF4E,DUSP10,DUSP16,MAPK8IP1,MAPK8IP2,MAPK8IP3,IRAK1,INPP5D,MBIP,LRIG1,TAB2,PTPN11,CBL,GSK3B,PTEN,SHOC2,PRKACA,FLNA,TAB1,ELP1,LAMTOR3
NOTCH-Ncore	None	Signalink	DTX4,MFNG,DTX1,ARRB1,ADAM10,ADAM17,NCOR2,POFUT1,APH1A,SET,MAML2,MAML3,NEURL1,BHLHE41,MIB1,MIB2,RAB11A,LTC4S,JAG1,NUMBL,DLL3,DLL4,NUMB,GALM,LFNG,NOTCH4,CTBP1,FBXW7
Apoptosis Modulation and Signaling	WP1772	Wikipathways	BCL2L1,BCL2L2,PMAIP1,HRK,CASP10,BOK,MAP3K5,FADD,IRAK1,CDKN2A,PTRH2,NAIP,DFFA,DFFB,FASLG,TNFRSF25,IKBKB,PTPN13,XIAP,BAK1,TNFSF10,NFKBIA,SEPT4,PIDD1,IL1R2,IL1R1,DAXX,MADD,BMF,JUN,MYD88,FOS,BLK,BNIP3,MIR29B2,TP53,TOLLIP,BCL2A1,AIFM2,AIFM1,BAG3,CAPNS1,TNFRSF10C,TNFRSF10B,TNFRSF10A,DIABLO,TNFRSF10D,HTRA2,MAPK3,TRADD,CFLAR,NFKB1,MAPK8,TNFRSF6B,APAF1,BAX,TNFRSF1B,TNFRSF1A,BAD,PRKD1,BIRC7,BIRC6,BIRC5,BIRC3,BIRC2,CYCS,RIPK1,HSPA1A,MCL1,BBC3,BCL2L11,BCL2L10,FAS,BID,CRADD,PEA15,TRAF3,TRAF6,ENDOG,TNFRSF11B,BIK,CASP6,CASP7,CASP4,CASP2,CASP3,CASP1,CASP8,CASP9,MAP3K14,BCL2
Cell Cycle	WP179	Wikipathways	PLK1,PKMYT1,GADD45A,GADD45B,ANAPC11,ANAPC10,ANAPC13,GADD45G,ESPL1,WEE2,MYC,CUL1,CDKN2B,CDKN2C,CDKN2A,CDKN2D,MDM2,SMAD3,CCND1,CCND3,FZR1,GSK3B,SFN,DBF4,RBX1,CCNH,CCND2,CDKN1C,CDKN1B,CDKN1A,CDC16,CCNE2,CCNE1,TTK,STAG2,CHEK2,CHEK1,SMC1A,SMC1B,BUB1,BUB3,CDC25C,CDC25B,CDC25A,STAG1,ANAPC1,SKP2,ANAPC2,ANAPC5,ANAPC4,ANAPC7,TP53,CDC27,CDC23,CDC14B,CDC14A,CDC20,TFDP2,TFDP1,HDAC1,HDAC2,SMAD4,ATM,SMAD2,PRKDC,ATR,ABL1,CDC6,CDC7,ZBTB17,SKP1,SMC3,PTTG1,PTTG2,RBL1,RBL2,CCNB1,EP300,WEE1,CDK1,CDK2,CDK4,CDK6,CDK7,CDC45,MAD2L2,TGFB1,TGFB2,TGFB3,YWHAZ,CCNA2,CCNA1,MAD1L1,YWHAQ,RB1,YWHAH,YWHAB,YWHAG,YWHAE,PCNA,RAD21,ORC6,ORC4,ORC5,ORC2,ORC3,ORC1,MCM7,MCM6,MCM5,MCM4,MCM3,MCM2,CCNB3,CCNB2,E2F5,E2F4,E2F3,E2F2,E2F1
Glutathione metabolism	WP100	Wikipathways	GSS,GSR,GSTM2,GSTT1,ANPEP,GCLC,IDH1,G6PD,GSTA1,GCLM,GPX1,GPX3,GPX2,GPX4,GGT5,GSTA5,GSTT2,OPLAH,GGT1,GSTM1
Alanine and aspartate metabolism	WP106	Wikipathways	ASPA,GOT2,DARS,AGXT,PC,ABAT,GPT,GOT1,ASS1,GAD1,GAD2,ASL
Translation Factors	WP107	Wikipathways	EIF1,GSPT2,PABPC1,EEF1A2,EIF2B5,EIF2B2,EIF5,EIF6,EIF2B1,EIF3F,EIF5B,EIF3E,EIF2S3,EIF2S2,EEF2K,EIF3I,EIF3J,EIF2B3,EEF1D,EIF2S1,EIF3B,EIF3C,EIF1AX,EIF1AY,EIF3D,EIF3G,ETF1,EEF1A1,EIF5A,EIF2B4,EIF3H,CLUH,EEF1B2,EIF4H,EIF4E,EIF4B,EIF2AK1,EEF1G,EIF2AK3,EIF2AK2,EIF3A,PAIP1,EIF4G3,EIF4EBP1,EIF4EBP3,EIF4EBP2,EIF4A1,EIF4G1,EEF2,EIF4A2
Electron Transport Chain (OXPHOS system in mitochondria)	WP111	Wikipathways	MT-CO1,MT-CO2,MT-CO3,NDUFB9,NDUFB8,NDUFB7,NDUFB6,NDUFB5,NDUFB4,NDUFB3,NDUFB2,NDUFB1,UQCRQ,SCO1,SLC25A14,UQCRB,NDUFAB1,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,NDUFB10,NDUFA10,COX8A,MT-ATP6,SLC25A6,SLC25A5,SLC25A4,SLC25A27,COX6A1,COX6A2,UQCRFS1,UQCRC2,UQCRC1,UQCRH,COX6B1,MT-ND4L,SURF1,COX6C,ATP5IF1,MT-CYB,COX7A1,COX7A2,ATP5PO,ATP5PD,ATP5F1E,ATP5PF,ATP5F1A,ATP5F1B,ATP5F1C,COX11,COX15,COX17,ATP5S,NDUFV3,NDUFV2,NDUFV1,NDUFA12,MT-ATP8,NDUFA6,NDUFA7,NDUFA4,NDUFA5,NDUFA2,NDUFA3,NDUFA1,NDUFA8,NDUFA9,COX4I1,ATP5F1D,COX7B,COX7C,COX5A,COX5B,UQCR10,UQCR11,ATP5PB,ATP5MC1,ATP5MC3,ATP5MC2,ATP5MG,ATP5MF,ATP5ME,NDUFC1,NDUFC2,NDUFS8,UCP1,UCP2,UCP3,COX7A2L,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,SDHA,SDHC,SDHB,SDHD
GPCRs, Other	WP117	Wikipathways	LTB4R2,OR3A4P,OR1E1,C5AR2,ADGRV1,UTS2R,RXFP1,RXFP3,GPR183,OR8G1,PROKR2,HTR2A,OR3A3,MCHR2,HTR7,ADRA1D,F2R,ADGRG1,GPR17,GHRHR,LGR6,OR51A1P,ALG6,GPR18,EDNRA,CCKBR,ADORA2A,OR8G2P,HRH4,VN1R1,GRM8,GPR162,GRM1,TAAR3P,ADGRF5,OR2F1,GPR176,PTGFR,SMO,GNRHR,CCR5,OR2H1,OR7E18P,CNR1,GPR143,S1PR1,ACKR1,P2RY11,OR7E35P,P2RY13,GPR88,OR2A5,OR2A4,GPR83,GPR84,ADORA3,CELSR3,CELSR2,CELSR1,ADGRD1,GPR62,OR1E3,GPR61,NTSR1,TAAR5,OR5D3P,TAAR2,OR1R1P,ADRB2,SSTR2,OR7A17,OR10A2,OR10A5,OR1N1,ADGRE3,ADGRE2,OR1F1,GPR55,CXCR3,CXCR2,CXCR1,OR3A1,FSHR,OR2A9P,CHRM3,CHRM2,OR2M4,GRPR,OR7E24,OR7E19P,OR1G1,OR2A20P,OR5E1P,DRD4,DRD3,GPR135,GPR132,ADGRL2,HTR1F,OR2B6,ADGRL3
Osteoclast Signaling	WP12	Wikipathways	ACP5,TNFSF11,CTSK,ATP6V1G1,AIMP2,PDGFB,IFNB1,ITGB3,IFNAR1,SPP1,TNFRSF11A,TNFRSF11B,TRPV5,MAPK8,GPR68,SLC9A1
IL-5 Signaling Pathway	WP127	Wikipathways	CSF2RB,RPS6KB1,SPRED1,FOXO3,AKT1,MAP2K1,ELK1,RPS6KB2,RAF1,STAT3,STAT1,JUN,PIK3CG,MAPK3,MAPK1,JAK2,PIK3R2,PIK3R1,JAK1,LYN,IL5RA,SHC1,FOS,MYC,KRAS,RPS6KA1,SOS1,RPS6,SYK,PTPN11,GSK3A,GSK3B,MAP2K2,STAT5B,STAT5A,GRB2,IL2,MAPT,BTK,BCL2
Matrix Metalloproteinases	WP129	Wikipathways	MMP14,MMP15,MMP16,MMP17,TIMP3,MMP11,MMP12,MMP13,MMP19,TIMP4,MMP23B,MMP23A,MMP10,TIMP2,TIMP1,BSG,TCF20,TNF,MMP28,MMP25,MMP24,MMP27,MMP26,MMP21,MMP20,MMP8,MMP9,MMP7,MMP2,MMP3,MMP1
Pentose Phosphate Metabolism	WP134	Wikipathways	PGD,TALDO1,G6PD,PGLS,TKT,RPE,RPIA
Phase I biotransformations, non P450	WP136	Wikipathways	LIPA,PON1,PON3,PON2,CES1,CES2,CES5A,ESD
Androgen receptor signaling pathway	WP138	Wikipathways	RNF14,CCNE1,SUMO1,RAD9A,FKBP4,AKT1,RLN1,CAV1,RAN,NR0B2,PARK7,RELA,BRCA1,SP1,CREB1,NR2C2,KLK3,PATZ1,MDM2,CCND1,KAT5,KAT7,RUNX2,PTEN,RNF6,RNF4,AES,CDKN1A,CARM1,SMARCE1,GSK3B,DAXX,BMF,UBE3A,JUN,PIK3R2,PIK3R1,TGFB1I1,SIRT1,DSTN,RHOB,RHOA,PAK6,UBE2I,ETV5,STUB1,FLNA,EFCAB6,CREBBP,HDAC1,KDM1A,BAG1,SMAD4,SMAD3,NCOR2,NCOR1,NCOA2,NCOA3,NCOA1,STAT3,NCOA4,FHL2,LIMK2,PLPP1,SRC,KAT2B,EP300,RACK1,PIAS2,PIAS3,PIAS1,PIAS4,ZMIZ1,CDC42,PTK2,ZNF318,EGFR,PRDX1,CTNNB1,FOXO1,RB1,SIN3A,RAC1,PSMC3IP,AR,CALR,ROCK1,ROCK2,TGIF1
AMP-activated Protein Kinase (AMPK) Signaling	WP1403	Wikipathways	ADIPOR1,HMGCR,PLCB1,PRKAG1,RPS6KB1,PRKAG3,PRKAG2,CAB39,PRKAA2,PRKAA1,STK11,AKT1,AKT2,CRTC2,LIPE,RPS6KB2,TSC2,ADIPOQ,TSC1,EEF2K,LEP,ADIPOR2,INS-IGF2,CCNA1,ACACA,PIK3CA,PIK3CB,PRKAB1,PIK3CD,CAMKK1,PPARGC1B,PIK3CG,PIK3R3,PIK3R2,PIK3R1,FASN,CDKN1A,CPT1A,RPTOR,CPT1C,CPT1B,PRKAB2,ACACB,LEPR,GYS1,GYS2,MTOR,BORCS8-MEF2B,CCNA2,PIK3C3,STRADB,ADRA1A,CCNB1,ADRA1B,TP53,PFKFB3,SLC2A4,HNF4A,INSR,SLC2A4RG,CAMKK2,PRKACG,SREBF1,EIF4EBP1,ELAVL1,PRKACB,STRADA,EEF2
Sphingolipid pathway	WP1422	Wikipathways	SPHK2,SPHK1,GBA,SERINC1,GAL3ST1,CERS6,CERS4,ACER1,CERS2,ASAH1,ASAH2,SPTLC2,SPTLC3,SPTLC1,GBA2,SGPP2,B4GALT6,PLPP1,COL4A3BP,SGPL1,CERS5,CERS3,KDSR,PPP1CA,PPP2CA,CERK
Ganglio Sphingolipid Metabolism	WP1423	Wikipathways	B3GALT4,ST3GAL2,ST3GAL1,B4GALNT1,ST3GAL5,A3GALT2,ST8SIA5,ST8SIA3,ST8SIA1,SLC33A1,FUT1,ST6GALNAC6,B3GALT1
Globo Sphingolipid Metabolism	WP1424	Wikipathways	ST6GALNAC5,B3GALT5,ST3GAL1,GCNT1,ST3GAL2,A3GALT2,FUT9,ST6GAL1,ST8SIA1,ABO,FUT2,FUT1,ST6GALNAC6,ST6GALNAC1,A4GALT,ST6GAL2,ST6GALNAC4,ST6GALNAC3,ST6GALNAC2,GALNT2
