gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
ADRBK2,-1.24,-0.52,-1.36,-0.78,-1.2,-1.23,-1.2,-0.97,-1.04,-1.08,0.4
AP4M1,-0.07,-0.39,-0.44,0.02,-0.38,-0.85,-0.17,-0.79,-0.3,-0.43,0.4
ASB3,-0.37,0.24,-1.37,-0.65,-1.01,-0.47,-0.75,-0.17,-0.5,-0.61,0.4
ATG5,0.25,0.11,0.96,0.61,0.25,0.06,0.15,-0.03,0.44,0.21,0.4
ATM,-0.26,-0.79,-0.97,0.8,-1.23,-0.92,-1.22,-1.24,-0.67,-0.76,0.4
BMPR2,-0.03,-0.67,-0.62,-0.29,0.17,-0.94,-1.08,-0.65,-0.44,-0.56,0.4
BTG4,-0.65,-0.49,0.25,-0.75,0.21,-0.54,-0.54,-0.55,-0.3,-0.43,0.4
C1orf64,-0.53,-0.82,-0.4,-0.51,-0.87,-0.36,-0.69,-0.98,-0.58,-0.68,0.4
C9orf156,0.32,-0.53,-1.04,-0.84,-1.11,-0.61,0.34,-0.45,-0.42,-0.54,0.4
CCDC132,0.44,0.58,1.2,0.45,0.51,0.41,0.59,0.4,0.74,0.47,0.4
CCDC66,-1.01,-0.73,-0.83,-0.97,-0.69,-0.88,-1.12,-0.94,-0.86,-0.92,0.4
CD44,-0.06,1.14,-0.17,0.02,0.05,-0.29,0.32,0.37,0.31,0.09,0.4
CDKN2D,-0.39,-0.11,-0.44,-0.48,-0.71,0.14,-0.37,-0.82,-0.32,-0.45,0.4
CERS3,-0.88,-0.6,-1.19,-1.25,-1.18,0.28,-1.26,-1.34,-0.89,-0.95,0.4
CLDN12,-0.23,-0.57,-0.35,-0.35,-0.26,-0.8,-0.19,-0.94,-0.38,-0.51,0.4
CLEC2D,-0.41,0.12,0.08,-0.28,-0.27,-0.1,-0.41,-0.1,-0.07,-0.23,0.4
CNBD1,0.1,0.03,-0.26,-0.14,-0.1,-0.41,-0.33,-0.08,-0.04,-0.21,0.4
CXCR7,0.06,-0.18,-0.21,-0.16,-0.33,-0.32,-0.36,-0.18,-0.11,-0.27,0.4
EPHB4,-0.47,-0.28,0.47,0.05,0.68,-0.03,-1.19,-0.78,-0.09,-0.26,0.4
FAM13C,-0.94,-1.07,-0.24,-0.41,-0.8,-1.18,-0.37,-1.37,-0.75,-0.82,0.4
FAM151B,0.35,0.01,0.32,-0.1,0.25,0.7,0.22,-0.97,0.22,0.02,0.4
FAM53B,-0.85,-0.53,0.07,-0.55,0.28,-0.42,-1.26,-0.83,-0.44,-0.56,0.4
FGFBP1,-0.73,-0.5,0.67,-0.33,-0.1,-0.01,-0.46,-0.78,-0.19,-0.33,0.4
FHL1,-0.53,-0.54,-1.09,-0.87,-0.5,-0.54,-0.97,-1.11,-0.72,-0.8,0.4
GDF2,-0.68,-0.98,-1.26,-1.06,-0.8,-0.82,-1.18,-1.25,-0.97,-1.02,0.4
GJB2,0.65,0.22,-0.24,-0.47,0.02,0.25,-0.34,0.6,0.21,0.01,0.4
GLTP,0.67,-0.3,0.47,-0.19,0.36,0.36,-0.1,-0.06,0.28,0.07,0.4
HDAC11,-0.42,0.21,-1.23,-0.51,-0.93,0.73,-1.03,-1.22,-0.48,-0.59,0.4
HELZ,-0.16,-0.52,-0.64,-0.59,-0.03,-0.45,-0.78,-0.93,-0.44,-0.55,0.4
IGLL5,0.07,0.02,0.33,0.05,-0.14,-0.25,0.24,-0.13,0.14,-0.05,0.4
IRG1,-1.31,0.73,-0.18,-0.72,-0.55,-1.02,0.53,-0.21,-0.25,-0.4,0.4
ISM1,0.19,-0.71,-0.7,-0.92,-0.86,-0.1,-0.12,-0.61,-0.4,-0.52,0.4
KCNIP4,-1.1,-0.64,-1.35,-1.11,-1.17,-0.76,-1.07,-1.22,-1.03,-1.07,0.4
KIF27,-0.19,-0.09,-0.23,-0.41,-0.32,-0.39,-0.07,-0.41,-0.17,-0.32,0.4
KLHL18,-0.37,-0.75,-0.47,-0.52,-0.42,-1.05,-0.74,-0.45,-0.53,-0.63,0.4
KLHL20,0.73,-0.09,0.02,-0.1,0.55,-0.42,-0.03,0.09,0.22,0.02,0.4
KLHL8,-0.23,-0.9,-0.62,-0.49,-1.11,-0.95,0.05,-0.91,-0.58,-0.68,0.4
LAMP5,-1,0.08,0.45,-0.59,-0.68,-0.39,0.73,-0.62,-0.16,-0.31,0.4
LILRB5,0.98,0.84,-0.33,-0.19,0.34,-0.13,0.4,0.87,0.5,0.26,0.4
LRRIQ1,-0.29,-0.38,0.04,-0.48,1.01,-0.97,-0.68,-0.64,-0.21,-0.35,0.4
MAPK14,1.14,0.29,2.32,0.98,0.87,0.85,1.36,0.52,1.25,0.92,0.4
MAVS,-0.77,-0.49,-0.65,-0.72,-0.64,0.08,-1.43,-0.94,-0.63,-0.73,0.4
MON1B,-0.51,-0.79,-0.11,-0.81,-0.97,-0.74,-0.21,-0.19,-0.47,-0.58,0.4
MRM1,-0.5,0.78,1.09,-0.68,0.94,0.28,-0.54,1.12,0.45,0.22,0.4
MRPL46,2.95,3.11,3.27,3.72,3.57,2.86,2.22,0.32,3.11,2.54,0.4
NCOA7,-0.7,-1.1,0.85,-0.52,-0.7,-0.32,-0.4,-0.31,-0.32,-0.45,0.4
NLRP14,-0.64,-0.66,-0.28,-0.42,-0.87,-0.53,-0.5,-0.84,-0.53,-0.63,0.4
NUP35,1.11,0.17,0.04,0.23,0.37,-0.23,0.37,0.34,0.44,0.21,0.4
OR6N1,0.65,-0.4,0.29,-0.08,-0.35,0.01,-0.28,0.62,0.18,-0.02,0.4
OR6X1,-0.8,-0.28,0.49,-0.65,-0.5,0.47,-0.73,-0.32,-0.2,-0.35,0.4
PHOSPHO2,1.15,0.86,0.13,0.54,0.09,0.15,0.76,0.68,0.71,0.45,0.4
PIK3CD,-0.39,0.04,-1.16,-0.46,-0.58,-0.94,-1.05,-0.05,-0.5,-0.61,0.4
PM20D1,-0.46,0.13,0.28,0.44,-0.61,-0.51,0.34,-0.59,-0.01,-0.19,0.4
PNMT,-0.44,0.27,-0.28,0.14,-0.5,-0.46,-0.45,-0.26,-0.15,-0.31,0.4
POSTN,-0.47,-0.29,-0.64,-0.8,-0.84,-0.42,-0.82,-0.02,-0.47,-0.58,0.4
PSTPIP1,0.12,0.13,-0.83,-0.45,-0.89,-0.4,-0.42,0.44,-0.19,-0.34,0.4
RBAK,0.29,-0.04,-0.54,-0.04,-0.46,0.03,0.21,-1.03,-0.1,-0.26,0.4
SCNM1,0.92,0.69,1.78,0.51,0.42,-0.13,2.41,0.86,1.13,0.81,0.4
SEC14L5,-0.3,0.24,-0.56,-0.01,-0.94,0.62,-0.37,-1.07,-0.21,-0.35,0.4
SERPINB11,-0.65,-0.83,0.08,-0.58,-0.8,-0.25,-0.63,-0.63,-0.46,-0.58,0.4
SH3TC2,-0.08,-0.54,-0.85,-0.57,-0.49,-0.7,-0.05,-1.2,-0.49,-0.6,0.4
SLC10A4,-0.09,-1.05,-1.09,-1.07,-1,-1.26,0.62,-1.39,-0.75,-0.82,0.4
SLC35E2,0.78,0.5,0.78,0.4,0.65,0.34,0.37,0.38,0.69,0.43,0.4
TAOK3,-1.26,-0.4,-0.37,0,-1,-0.81,-1,-1.02,-0.68,-0.77,0.4
TGFA,-0.51,-0.42,0.87,0.39,-0.06,-0.73,0.2,-0.76,-0.02,-0.19,0.4
TMEM206,-0.22,-0.85,-0.54,-0.2,-0.71,-0.54,-0.9,-0.87,-0.54,-0.64,0.4
TMEM208,0.35,-1.12,-0.24,0.4,-1.25,-0.32,-0.44,-0.72,-0.34,-0.47,0.4
TMEM45B,-0.57,-0.9,-0.68,-0.72,-0.82,-1.25,-0.81,-0.39,-0.71,-0.8,0.4
TNFRSF11B,-0.52,-0.04,-0.74,-0.44,-0.62,-0.64,-0.02,-1.01,-0.43,-0.55,0.4
TSNAXIP1,-1.37,-0.38,0.11,-0.34,-0.67,-1.29,-0.53,-0.43,-0.55,-0.65,0.4
TSPAN14,0.02,-0.34,-1.25,-0.89,-0.33,-0.76,-1.44,0.27,-0.53,-0.63,0.4
UBE2F,-0.16,0.46,-0.1,-0.29,0.52,-0.24,-0.62,0.04,0.07,-0.12,0.4
UBL3,-0.33,0.42,-0.1,-0.11,0.18,-0.3,-0.61,-0.02,0,-0.17,0.4
USP33,-0.31,-1.06,-0.85,-0.83,-0.86,-1.1,-0.27,-1.04,-0.74,-0.82,0.4
WDR60,-0.35,-0.42,-0.18,-0.78,-0.57,-1.48,0.65,-0.08,-0.32,-0.45,0.4
ZNF543,-0.27,0.6,0.44,0.62,0,0.26,-0.51,-0.1,0.26,0.05,0.4
ABCB10,0.29,-0.56,-0.08,0.12,-0.63,-0.04,-0.19,-0.63,-0.12,-0.27,0.39
ACTL7B,-0.09,-0.64,-0.23,-0.38,-0.25,-0.36,-0.59,-0.65,-0.32,-0.44,0.39
ADAMTS15,-1.12,-0.93,0.29,-0.43,-0.56,-0.78,-0.84,-0.8,-0.59,-0.68,0.39
ADAMTSL4,0.97,-0.18,0.1,-0.61,-0.01,0.89,0.97,-0.79,0.3,0.09,0.39
AGTRAP,-0.72,-0.26,0.41,-0.82,0.09,-0.13,-1.48,0.67,-0.19,-0.34,0.39
AQP2,-0.23,-0.63,1.07,-0.3,-0.14,0.31,0.15,-0.55,0.07,-0.11,0.39
AQP9,-1.08,-0.48,-0.87,-0.96,-0.82,-0.96,-1.6,-0.04,-0.81,-0.88,0.39
ARFGAP1,-0.88,0.23,-0.67,-0.73,-0.44,0.03,-1.26,-0.36,-0.44,-0.55,0.39
ASB18,-0.47,-0.02,-0.6,-0.46,-0.6,0.01,-1.09,-0.29,-0.36,-0.49,0.39
C11orf21,-0.68,0.51,-0.44,0.94,-0.82,-0.25,-0.91,-0.7,-0.21,-0.35,0.39
C15orf60,-0.84,-0.27,-0.62,-0.71,-0.88,-0.34,-0.43,-0.99,-0.58,-0.67,0.39
C19orf12,0.43,0.1,-0.53,-0.25,-0.03,-0.31,-0.12,-0.14,0,-0.17,0.39
CCDC149,-0.96,-0.2,-1.06,-0.45,-0.77,-0.72,-1.19,-0.94,-0.74,-0.81,0.39
CCDC160,0.61,0.42,0.27,0.05,0.33,0.26,0.14,0.27,0.43,0.21,0.39
CLK4,0.27,-0.03,0.27,-0.51,0.64,0.42,-0.3,-0.36,0.17,-0.02,0.39
CMTM3,-0.04,-0.19,-0.23,-0.75,-0.77,-0.31,-0.32,0.63,-0.15,-0.3,0.39
CNKSR3,-1.02,-0.94,-1.01,-0.81,-1.15,-1.13,-1.44,-0.63,-0.99,-1.03,0.39
CNST,0.02,0.01,-0.17,-0.99,0.08,0.08,-0.29,0.09,-0.04,-0.21,0.39
CNTNAP1,0.72,-0.34,-0.28,-0.4,0.49,0.02,-0.6,-0.21,0.03,-0.14,0.39
CXCR6,-0.14,0.15,-0.26,-0.09,-0.18,-0.19,-0.52,-0.23,-0.08,-0.24,0.39
DUSP8,0.14,-0.09,0.71,0.5,0.07,-0.43,-0.07,0.19,0.25,0.05,0.39
ERICH2,0.04,0.23,0.9,0.07,0.31,0.09,0.28,0.1,0.39,0.17,0.39
FAM13B,0.11,-0.4,1.42,-0.06,0.32,0.55,0.46,-0.46,0.38,0.16,0.39
FAM26F,-0.22,-0.61,0.71,-0.68,-0.55,0,0.06,0.14,-0.04,-0.2,0.39
HLA-DRA,0.16,-0.45,0.24,-0.27,-0.18,0.03,-0.65,0.15,-0.02,-0.19,0.39
HSPA12A,-0.22,-0.74,-0.15,-0.31,-0.84,-0.45,-1.17,0.32,-0.37,-0.49,0.39
HTR2B,-0.57,-0.67,-0.59,-0.62,-0.69,-0.64,-1.05,-0.48,-0.61,-0.7,0.39
KRIT1,-0.11,-0.49,-1.12,-0.6,0.32,-1.42,-0.28,-1.35,-0.57,-0.67,0.39
LGALS14,0.67,0.57,0.75,0.48,0.65,0.42,0.24,0.26,0.66,0.41,0.39
LMBRD2,-0.41,0.12,-1.19,-1.14,-0.49,-0.4,-0.18,-0.78,-0.49,-0.6,0.39
LRRC4,-0.73,-0.99,0.1,-0.52,-0.53,-0.61,-0.86,-0.69,-0.54,-0.64,0.39
MICALCL,-0.52,0.09,-0.99,-0.74,-0.8,-0.83,-0.21,-0.32,-0.47,-0.58,0.39
NEK2,0.91,1.12,0.47,0.15,0.82,1.29,-0.03,0.54,0.83,0.56,0.39
NKX1-1,-0.83,-0.69,-0.52,-0.8,-0.56,-0.78,-1.21,-0.45,-0.68,-0.76,0.39
NMBR,0.13,-0.77,0.13,-0.41,-0.37,-0.12,-0.29,-0.4,-0.17,-0.32,0.39
NNAT,-0.82,0.43,-0.08,-0.11,-0.66,-0.69,0.13,-0.19,-0.16,-0.3,0.39
OR10AG1,0.17,0.26,0.89,0.21,0.24,0.07,0.52,0.03,0.44,0.21,0.39
OR1S1,0.87,0.38,0.84,0.69,0.38,0.57,0.2,0.35,0.7,0.44,0.39
OR51F2,-0.11,0.09,0.09,-0.33,-0.49,-0.43,0.49,0.02,0.02,-0.15,0.39
PAPSS2,0.37,-0.27,0.95,-0.7,0.14,0.6,0.44,0.21,0.35,0.14,0.39
PLSCR4,-0.84,-0.74,-0.09,-0.79,-1.08,-0.46,-0.34,-0.6,-0.55,-0.65,0.39
QRFP,0.43,0.59,0.78,0.03,0.14,0.31,0.1,1.2,0.6,0.35,0.39
RGS8,-0.4,-0.57,-0.01,-0.51,-0.27,-0.57,-0.35,-0.56,-0.32,-0.45,0.39
ROBO3,-0.26,-0.42,-1.24,-0.6,-0.5,-0.68,-1.17,-0.68,-0.64,-0.73,0.39
SAR1B,0.51,0.22,0.85,0.6,0.52,0.01,-0.06,0.38,0.53,0.29,0.39
SLC16A9,0.03,-0.65,-0.89,-0.95,-0.89,-0.89,0.87,-1.17,-0.5,-0.6,0.39
SLC44A1,-0.71,-0.77,-1.29,-0.8,-1.11,-0.64,-1.18,-1.14,-0.92,-0.97,0.39
SMARCA5,1.91,1.78,0.42,1.16,1.22,1.53,-0.3,1.49,1.37,1.02,0.39
SMTNL1,0.12,-0.9,-0.84,-0.46,-0.64,-1.02,-0.24,-0.83,-0.54,-0.64,0.39
SNN,-0.41,0.47,-0.23,-0.22,-0.31,-0.29,0.1,-0.37,-0.05,-0.22,0.39
SPDYE4,-0.19,0.44,-0.45,-0.27,-0.57,0.01,-0.09,-0.23,-0.07,-0.23,0.39
TCF20,-1.22,-0.43,-0.9,-0.57,-0.98,-0.62,-0.98,-1.4,-0.85,-0.91,0.39
TFPI2,-0.61,-0.48,-0.93,-1.09,-0.46,-1.16,-0.68,-0.38,-0.67,-0.76,0.39
TMEM171,-0.04,-0.1,0.92,0.17,0.2,0.39,-0.17,-0.3,0.26,0.06,0.39
TMEM18,-0.54,-0.59,-0.66,-0.68,-0.13,-0.8,-0.66,-1.19,-0.6,-0.69,0.39
TMIGD1,0.28,0.26,0.12,-0.08,-0.03,0.03,0.45,-0.25,0.22,0.02,0.39
TPRG1,-0.67,0.04,-1.2,-0.42,-0.88,-0.76,-0.96,-0.48,-0.61,-0.7,0.39
TUBB6,0.2,-0.98,-0.36,-0.72,-0.54,-0.67,-0.98,0.39,-0.38,-0.5,0.39
TXLNA,-0.44,-0.52,0.72,-0.22,-0.62,-0.92,1.63,-1.04,-0.08,-0.23,0.39
USP31,-0.99,-0.01,-1.03,-0.05,-1.12,-0.25,-1.24,-1.12,-0.68,-0.76,0.39
VWDE,-0.07,0.4,-0.54,-0.35,-0.03,-0.6,0,-0.16,-0.07,-0.23,0.39
ZBTB22,-0.4,-0.89,-0.24,-0.31,-0.93,-0.76,-0.51,-0.55,-0.51,-0.61,0.39
ZC3H13,-0.12,0.11,-0.65,-0.18,-0.97,0.33,0.2,-1.17,-0.22,-0.36,0.39
ZDHHC14,-1.2,-0.64,-1.05,-1.13,-0.42,-1.36,-1.21,-0.92,-0.96,-1.01,0.39
ZDHHC6,0.04,0.01,0.11,-0.06,-0.33,0.29,-0.53,0.03,0.05,-0.12,0.39
ZFAT,-0.13,-0.7,-1.01,-0.95,-0.87,-0.55,0,-1.15,-0.61,-0.7,0.39
ZNF35,-0.49,-0.48,0.34,-0.46,-0.42,0.03,-0.73,-0.2,-0.21,-0.36,0.39
ZNF527,-0.31,0.29,-0.27,0.11,-0.5,-0.1,-0.35,-0.43,-0.1,-0.25,0.39
ZNF654,0.44,0.38,0.58,0.24,0.16,0.42,0.13,0.26,0.47,0.24,0.39
ACTR1B,0.65,-0.1,-0.39,0.18,-0.43,0.16,-0.27,-0.23,0.05,-0.12,0.38
ADAM29,0.09,-0.27,0.48,-0.35,0.05,0.32,-0.94,0.54,0.1,-0.08,0.38
ADAMTS18,-0.12,-0.76,-0.26,-1.04,-0.89,-0.04,0.33,-0.84,-0.38,-0.49,0.38
AGK,0.73,0.49,1.26,0.54,1.22,0.38,0.41,0.22,0.83,0.55,0.38
AOX1,-1.04,-0.68,0.56,-0.33,-0.2,-0.55,-1.21,-0.22,-0.38,-0.5,0.38
APOBEC3H,-1.07,-0.77,0.51,-0.5,-0.64,-0.68,-0.15,-0.77,-0.44,-0.55,0.38
ART5,0.65,-0.45,-0.07,-0.09,0.05,0.14,0.24,-0.97,0.04,-0.13,0.38
ASPRV1,0.57,-0.04,0.06,-0.18,-0.49,0.79,0.32,-0.4,0.2,0.01,0.38
BCKDHA,1.2,-0.41,-0.84,-0.12,-0.21,-0.41,0.28,-0.44,-0.02,-0.18,0.38
C14orf177,0.18,0.31,0.58,0.1,0,0.16,-0.01,0.48,0.36,0.14,0.38
C7orf33,-0.03,-0.11,0.4,0.07,-0.13,-0.13,-0.04,-0.21,0.08,-0.09,0.38
C7orf60,0.02,-0.4,-0.58,-0.43,-0.38,-0.78,-0.05,-0.58,-0.32,-0.44,0.38
CLU,0.56,-0.32,0.06,0.1,-0.08,-0.34,0.42,-0.48,0.1,-0.08,0.38
COLEC12,-0.92,-0.85,0.22,-0.62,-1,-0.59,-0.07,-0.79,-0.52,-0.61,0.38
CYP4A22,0.49,0.46,1.09,0.46,0.49,0.54,0.27,0.37,0.68,0.43,0.38
DHRS7C,-1.06,0.21,-1.1,-0.27,-0.63,-0.48,-1.43,-0.82,-0.65,-0.73,0.38
DLK2,-0.25,-1,0.09,-0.77,-0.65,-0.79,0.28,-0.57,-0.39,-0.5,0.38
DLX5,-0.86,-0.17,0.07,-1.14,0.01,0.29,-0.95,-0.44,-0.32,-0.45,0.38
DNAJC22,-0.81,-0.28,0.07,-0.45,-0.4,-0.26,-0.56,-0.6,-0.34,-0.46,0.38
EPO,-0.47,-0.48,-0.51,-0.72,-0.32,-0.93,-0.13,-0.86,-0.49,-0.59,0.38
FAM162B,-0.72,-0.93,-0.62,-0.81,-0.56,-1.11,-0.39,-1.26,-0.76,-0.82,0.38
FAM168B,-0.77,0.23,-0.27,-0.54,-0.55,-0.25,-0.71,0.05,-0.27,-0.4,0.38
FEV,-0.1,-0.22,0.1,-0.26,-0.44,-0.56,0.61,-0.5,-0.08,-0.23,0.38
FMO2,-0.86,-0.78,-0.75,-0.85,-0.85,-0.32,-1.13,-1.12,-0.8,-0.86,0.38
GABRG1,-0.93,-0.73,-0.05,-0.83,-0.44,-0.77,-0.51,-0.77,-0.57,-0.66,0.38
GEMIN4,0.66,1.45,-0.48,0.44,0.01,0.55,-0.94,1.49,0.54,0.31,0.38
GOLIM4,0.77,-0.95,-0.51,-0.94,-0.72,-0.29,0.95,-0.84,-0.23,-0.37,0.38
GRIN2C,-0.06,-0.84,-0.98,-0.29,-0.56,-0.49,-1.2,-1.02,-0.63,-0.71,0.38
HMGB1,0.51,0.79,0.61,0.48,0.34,0.48,0.26,0.38,0.64,0.39,0.38
IRS4,-0.91,-0.69,0.3,-0.56,-0.45,-0.88,-0.31,-0.52,-0.43,-0.54,0.38
ITPRIPL2,-0.56,-0.58,-0.33,-0.52,0.01,-1.03,-0.72,-0.69,-0.49,-0.59,0.38
KLHL24,0.03,-0.52,-0.84,-0.59,0.13,-0.49,-1.26,-0.55,-0.44,-0.55,0.38
LMX1A,-0.89,-0.97,-0.52,-1,-0.94,-0.77,-1.32,-0.24,-0.79,-0.85,0.38
LSM10,0.55,1.28,-0.31,1.02,-0.56,0.41,0.05,0.46,0.51,0.28,0.38
MAS1,-0.17,-0.44,-0.07,0.15,-0.18,-0.54,-0.62,-0.61,-0.23,-0.36,0.38
N4BP2L1,-0.22,-0.4,-0.58,-0.39,-0.65,-0.15,-1.18,-0.18,-0.4,-0.51,0.38
NT5C1A,-0.61,-0.23,-1.05,-0.84,-0.08,-0.42,-1.23,-1,-0.63,-0.71,0.38
OCA2,-0.47,-0.56,-0.45,-0.94,-0.06,-0.01,-0.78,-1.16,-0.49,-0.59,0.38
PBX1,0.28,-0.53,-0.73,-0.17,0.27,-0.96,-1.04,-0.35,-0.33,-0.45,0.38
PHRF1,-0.18,-0.4,-0.95,0.32,-0.37,-0.54,-1.1,-1.37,-0.51,-0.61,0.38
PIWIL3,-0.6,-0.71,0.03,-0.5,-0.79,-0.38,-1.24,0.23,-0.43,-0.54,0.38
PKD2L2,-0.55,-0.43,-0.81,-0.73,-0.71,-0.56,-0.53,-0.89,-0.6,-0.68,0.38
PNMA3,-1.28,-0.94,0.04,-0.53,-1.18,-0.32,-1.11,-0.84,-0.73,-0.8,0.38
PRDM1,-0.37,-1.27,-1.61,-0.99,-1.01,-0.81,-1.51,-1.22,-1.08,-1.11,0.38
QSOX1,-0.33,-0.19,-0.3,-0.03,-0.37,-0.6,-0.57,-0.44,-0.27,-0.4,0.38
RAB23,0.77,0.37,0.89,0.4,0.34,0.44,0.62,0.34,0.68,0.43,0.38
RNF17,-0.27,-0.51,-1.19,-0.9,-1.02,-0.26,-0.43,-1.07,-0.66,-0.74,0.38
RTN4RL1,-0.99,-0.16,-0.65,-0.41,-0.6,-0.63,-0.77,-1.02,-0.6,-0.69,0.38
SDC4,-0.84,0.42,1.19,0.16,0.19,0.14,0.71,-0.92,0.26,0.06,0.38
SEMA4A,-0.53,-0.49,-0.61,-0.63,-0.43,-1.27,-0.2,-0.67,-0.54,-0.64,0.38
SIK3,0.1,-0.63,-1.13,-0.41,-0.83,-0.94,-0.37,-0.67,-0.55,-0.65,0.38
SLC25A12,-0.15,-0.63,-0.38,-0.69,-0.58,-0.04,-0.45,-0.75,-0.39,-0.5,0.38
SLC37A3,-1.14,-0.55,-0.84,-1.07,-0.53,-0.62,-0.87,-1.41,-0.85,-0.9,0.38
SPAG5,1.09,1.5,0.11,0.52,2.04,0.17,-0.27,0.64,0.9,0.62,0.38
SPDYE3,0.42,0.16,0.43,0.15,0.4,0.11,-0.12,0.11,0.34,0.13,0.38
SPTSSA,2.05,1.17,1.64,0.19,1.83,1.33,1.52,1.36,1.62,1.25,0.38
SUCLG2,0.09,0,-0.21,-0.17,-0.29,-0.26,-0.21,-0.06,-0.04,-0.2,0.38
THRA,-0.91,-0.52,-0.72,-1,-0.89,-0.75,-0.72,-0.58,-0.71,-0.79,0.38
TNKS,0.07,-0.67,-0.01,-0.83,-0.21,0.84,-1.3,-0.21,-0.2,-0.34,0.38
TNN,-0.3,-0.5,-0.46,-0.83,-0.26,-0.23,-0.21,-1.12,-0.42,-0.53,0.38
TPH2,-0.41,-0.4,-0.23,-0.93,-0.35,-0.63,0.64,-1.06,-0.35,-0.47,0.38
TRDN,0.18,-0.8,-0.44,-0.7,0.18,-0.35,-0.49,-1.01,-0.35,-0.47,0.38
TRIM26,-0.99,-0.95,-0.77,-0.74,-0.89,-0.72,-1.15,-1.27,-0.91,-0.95,0.38
TXNL1,-0.08,0.2,0.38,-0.17,0.79,-0.5,-0.35,0.15,0.17,-0.02,0.38
UBA7,-0.15,0.3,0.32,-0.57,-0.21,0.67,0.64,-0.67,0.16,-0.03,0.38
UBE2E2,-1.21,-0.23,-0.69,-0.8,-0.37,-0.05,-1.58,-1.11,-0.71,-0.78,0.38
WFIKKN1,-0.64,-0.69,-0.85,-1.02,-0.64,-0.52,-1.45,-0.36,-0.73,-0.8,0.38
ZNF396,0.15,-0.04,0.93,-0.1,0.02,-0.18,0.23,0.73,0.35,0.14,0.38
ZNF44,-0.03,0.07,0.71,0.04,0.09,0.24,-0.07,-0.02,0.25,0.06,0.38
ZNF786,-0.17,-0.31,-0.09,-0.38,-0.14,-0.64,-1.16,0.66,-0.19,-0.33,0.38
ADH7,-0.47,-0.96,-0.13,-1.04,-0.89,-0.95,0.06,-0.23,-0.52,-0.61,0.37
AGTR1,0.65,0,0.53,0.13,0.13,0.13,-0.25,0.79,0.39,0.18,0.37
ARHGEF10L,-0.51,-0.78,-0.69,-0.55,-1.22,-0.99,-0.26,-0.66,-0.66,-0.74,0.37
ARHGEF4,0.25,-0.35,-0.18,-0.43,-0.31,-0.12,-0.8,0.46,-0.09,-0.24,0.37
ATP13A2,0.28,-1.03,0.08,-0.3,-0.71,-0.79,0.04,-0.01,-0.23,-0.35,0.37
ATP1B1,0.29,-1.03,-1.13,-0.84,-0.57,-0.45,-0.67,-0.98,-0.62,-0.7,0.37
ATP6V1H,2.97,1.9,-0.14,3.12,-0.25,0.17,0.87,2.14,1.58,1.21,0.37
ATP8B3,-0.04,-0.15,-0.47,-0.31,-0.49,-0.45,-0.63,0.14,-0.22,-0.35,0.37
BOD1L2,-0.29,0,-0.15,-0.09,-0.14,-0.25,-0.63,-0.34,-0.15,-0.29,0.37
C10orf128,-0.1,0,-0.2,-0.54,-0.16,-0.12,0.04,-0.47,-0.1,-0.25,0.37
C1orf123,-0.04,0.2,-1.13,-0.29,0.26,-0.81,-1.22,-0.15,-0.32,-0.44,0.37
C20orf202,-0.62,-0.27,-0.22,-0.27,-0.63,-0.16,-1.15,-0.22,-0.37,-0.48,0.37
CNTN1,-0.3,-0.07,-0.79,-0.88,0.11,-0.75,-0.21,-0.76,-0.38,-0.5,0.37
COL19A1,-0.06,-0.9,-0.91,-0.25,-0.87,-0.74,-0.95,-0.71,-0.62,-0.7,0.37
COL4A4,0.67,-0.44,0.32,-0.02,-0.1,-0.09,-0.04,0.25,0.18,0,0.37
CTNNAL1,-1.44,-0.41,-0.57,-0.86,-0.63,-0.78,-1.19,-0.85,-0.8,-0.86,0.37
CTSE,-1.2,-0.54,0.02,-0.78,-0.54,-0.97,0.16,-1.17,-0.57,-0.66,0.37
DRGX,0.13,-0.55,0.27,-0.52,-1.09,-0.23,1.34,-0.54,-0.05,-0.21,0.37
EXOSC5,1.84,2.17,0.97,2.57,0.69,0.79,0.28,2.09,1.66,1.28,0.37
F7,-0.94,-0.01,-1.04,-0.62,-0.56,-0.77,-1.06,-0.67,-0.66,-0.74,0.37
FAM47B,-0.64,-0.28,-0.38,-0.49,-1.03,0.11,-0.6,-0.69,-0.44,-0.54,0.37
FAM84A,-0.41,-0.81,-0.37,-0.8,-0.24,-0.17,-1.01,-0.91,-0.53,-0.62,0.37
FGD5,-0.58,-0.35,-1.28,-0.6,-0.58,-1.07,-0.86,-0.89,-0.74,-0.8,0.37
FGF11,-0.54,-0.47,0.28,0.23,-0.33,-0.34,-0.98,-0.43,-0.24,-0.37,0.37
FGF18,-0.92,-0.76,-0.57,-0.88,-0.82,-0.53,-0.75,-1.09,-0.75,-0.81,0.37
FTH1,0.75,-0.16,1.19,0.24,0.35,0.49,0.6,0.11,0.59,0.36,0.37
GALNT1,-1.03,-0.86,0.01,-0.77,-0.78,-0.93,-0.76,-0.32,-0.63,-0.71,0.37
GLYCTK,-0.56,-0.35,-1.05,-0.77,-1.09,-0.18,-0.36,-1.26,-0.66,-0.73,0.37
